Date,Close,High,Low,Open,Volume,Ticker
,PG,PG,PG,PG,PG,
2015-08-17,58.00752258300781,58.222563437976426,57.40847852718845,58.222563437976426,8683900,PG
2015-08-18,57.70030975341797,58.214878414593265,57.60047104632991,58.045916095349696,7445900,PG
2015-08-19,56.924644470214844,57.54672786654631,56.8478391318915,57.54672786654631,9865300,PG
2015-08-20,56.76337432861328,57.38545784025693,56.417767820369015,56.64049045205735,10696500,PG
2015-08-21,55.173580169677734,56.755677430023454,55.165904324016836,56.48687634628788,15763900,PG
2015-08-24,53.09996032714844,54.58221286606821,49.93577195106345,52.662196927541224,23696300,PG
2015-08-25,52.546993255615234,55.473101444375004,52.45483624330446,55.4346987829632,21476900,PG
2015-08-26,54.45165252685547,54.52845199157861,52.95403659734811,53.683646160776895,17464700,PG
2015-08-27,54.89712142944336,55.104480660051465,53.77582649246998,54.83567948725351,13434000,PG
2015-08-28,54.689727783203125,54.735806286072595,54.21356176900073,54.659006828149124,10020000,PG
2015-08-31,54.27500915527344,54.52845266547323,53.99085054634365,54.52845266547323,9520900,PG
2015-09-01,52.91563415527344,53.668277032541155,52.62378801723567,53.27659804636881,15437700,PG
2015-09-02,53.61451721191406,53.64523816663452,53.16139631348897,53.4916392524552,8903700,PG
2015-09-03,53.7066764831543,54.11371885197947,53.530032470184686,53.89867804274523,8468300,PG
2015-09-04,52.8081169128418,53.20747762645741,52.608433626322345,53.20747762645741,11497500,PG
2015-09-08,53.74507141113281,54.09835352685293,53.422504384239005,53.99850898019128,9182300,PG
2015-09-09,52.59307861328125,54.17516985497683,52.508597444120454,54.09837039012799,11070600,PG
2015-09-10,52.47018814086914,52.95402998165849,52.032424801272256,52.31658923061238,12591100,PG
2015-09-11,52.546993255615234,52.616116874271775,52.0170728565579,52.270510499835986,11291400,PG
2015-09-14,52.2705192565918,52.454845030939936,51.70987780636679,52.40108481161117,9712800,PG
2015-09-15,53.338035583496094,53.56075811526483,52.14762932539529,52.239786332042286,11043700,PG
2015-09-16,53.83723068237305,54.03691392475311,53.53002704627035,53.852594086860286,8704200,PG
2015-09-17,53.94477081298828,54.73581651026453,53.652930474596545,53.760450907657926,11029600,PG
2015-09-18,53.71437454223633,54.35949716637927,53.27661108744665,53.33037130612523,18210200,PG
2015-09-21,54.2596549987793,54.4362931949284,53.76813135643325,53.87565178698245,7742800,PG
2015-09-22,53.906368255615234,54.25965047790222,53.74508762322923,53.806523678835674,10207800,PG
2015-09-23,53.960113525390625,54.13675165791301,53.72970933753667,53.89867162737332,6294200,PG
2015-09-24,54.804927825927734,54.973890142619496,53.560755560725234,53.622197468508205,13423500,PG
2015-09-25,55.81100845336914,56.35629214545435,55.25804305874126,55.59596765755212,15080700,PG
2015-09-28,55.11981201171875,55.81101888418692,55.10445446318538,55.53453613519965,9207300,PG
2015-09-29,55.51150131225586,55.61134589367155,54.79725513028233,55.11981641003198,9033300,PG
2015-09-30,55.25038528442383,56.11054874899534,54.95086324094994,55.95694980444304,11041900,PG
2015-10-01,55.25804901123047,55.434693032206965,54.83564907663749,55.11213180373461,8547600,PG
2015-10-02,55.61899948120117,55.61899948120117,54.75115471123868,54.80491490301651,9085600,PG
2015-10-05,56.23344039916992,56.39472107116797,55.680474746933754,56.041438762111525,9187700,PG
2015-10-06,56.37167739868164,56.66351775476815,55.74958815890915,56.325593024986766,8851500,PG
2015-10-07,56.617435455322266,56.73263759272081,56.310231708734165,56.617435455322266,8013200,PG
2015-10-08,57.139671325683594,57.170392281585244,56.4407827626234,56.58670583830041,6856600,PG
2015-10-09,57.20111083984375,57.53135377766495,57.07822702138797,57.28558614075339,6880100,PG
2015-10-12,57.08590316772461,57.41614607339747,56.76334196481318,57.36238587291223,6255900,PG
2015-10-13,56.91694641113281,57.047506073690684,56.57134592567422,57.01678511907301,8390200,PG
2015-10-14,56.993751525878906,57.30095524312952,56.755671428235864,56.993751525878906,8479200,PG
2015-10-15,57.039825439453125,57.47758879697106,56.8555055677148,57.32398988042631,8607400,PG
2015-10-16,57.523677825927734,57.631198248115986,57.09359027775117,57.38543644605376,9578900,PG
2015-10-19,57.723358154296875,57.746397406521105,57.23951041989508,57.33167328821525,7292200,PG
2015-10-20,57.16271209716797,57.638878137165385,56.95535296359917,57.50063676164506,8531900,PG
2015-10-21,57.025550842285156,57.761717944314654,56.955811869634076,57.14953912089133,8302100,PG
2015-10-22,58.001922607421875,58.590854951920925,57.04103734898602,57.23476454935288,14080900,PG
2015-10-23,59.691253662109375,60.79162328752117,59.13331810215751,59.48203078317138,16451200,PG
2015-10-26,60.04768753051758,60.365403009513905,59.66798383422917,59.66798383422917,11464700,PG
2015-10-27,59.89271545410156,59.9469588459287,59.520756544368105,59.76098234710513,9423400,PG
2015-10-28,59.28828811645508,60.08644342532328,58.65286298503789,59.97020589511931,10178400,PG
2015-10-29,59.68348693847656,59.81522595804188,59.07905888102113,59.47426411554442,8230700,PG
2015-10-30,59.18755340576172,59.77648596198305,59.18755340576172,59.652503583460565,9547700,PG
2015-11-02,59.3580207824707,59.48975387706923,58.93182443310742,59.33477446131635,7152900,PG
2015-11-03,59.706756591796875,59.9934692138227,58.862102484319806,59.12557468822489,8013200,PG
2015-11-04,59.71449279785156,59.776486944174984,59.28829634407421,59.691246471002074,6375400,PG
2015-11-05,59.19530487060547,59.86947790678389,58.86209372565574,59.73773886839006,6860900,PG
2015-11-06,58.55986785888672,58.893078936722674,57.8779501258651,58.800087736366365,9483500,PG
2015-11-09,58.428138732910156,58.606364488940365,58.063930563518355,58.26540855528355,8607200,PG
2015-11-10,58.714866638183594,59.07907490287926,58.29642087883956,58.41265252749739,6551000,PG
2015-11-11,58.862083435058594,59.226291589364145,58.83108636744896,58.90857608042998,5295900,PG
2015-11-12,57.854705810546875,58.90083172447583,57.854705810546875,58.63735960370383,7678600,PG
2015-11-13,57.312252044677734,58.102662302568106,57.30450130157712,57.839190245909734,8468800,PG
2015-11-16,58.35063171386719,58.37387803062251,57.35099870879614,57.53697515492331,7410600,PG
2015-11-17,58.17241287231445,58.90082915504741,58.0174334518583,58.373890848576195,8761800,PG
2015-11-18,58.815589904785156,58.86208254945704,57.97093608336759,58.102675096748015,6447100,PG
2015-11-19,59.063568115234375,59.636999150814155,58.90858275961362,59.00157397298608,7899500,PG
2015-11-20,58.753597259521484,59.559503289412945,58.64511047781362,59.31928340307212,9533200,PG
2015-11-23,58.86984634399414,58.93958532646107,58.42814838544151,58.753608794461904,9421300,PG
2015-11-24,59.241790771484375,59.427773188457635,58.59087004833746,58.59862079373297,7086800,PG
2015-11-25,58.815589904785156,59.46651057853575,58.80008841517049,59.3037804100981,4266500,PG
2015-11-27,58.66059494018555,59.17978833950446,58.50561554199443,58.807829506926666,2390100,PG
2015-11-30,57.99418258666992,58.74584520900317,57.99418258666992,58.56761946248077,8935700,PG
2015-12-01,58.84658432006836,59.06355786820754,58.01743202563034,58.01743202563034,8391700,PG
2015-12-02,58.730323791503906,59.249511137150336,58.62183705993849,58.68383116714258,8104200,PG
2015-12-03,58.69160461425781,59.04806203636324,58.24990673120475,58.76134949689059,11177800,PG
2015-12-04,60.311161041259766,60.365404427718204,58.831082206044954,58.877580760213405,11961000,PG
2015-12-07,60.729618072509766,60.830354110201085,60.086442208877,60.086442208877,9460000,PG
2015-12-08,60.24917984008789,60.83036163918842,59.93921503148355,60.19493644198865,8312700,PG
2015-12-09,60.21043014526367,61.21006351800916,60.008958051224525,60.132940423549634,10081900,PG
2015-12-10,60.280181884765625,60.86136373180877,60.10970093036564,60.37317310864402,8984200,PG
2015-12-11,60.27240753173828,60.69860975081147,59.75322003729287,60.06318475006563,12280500,PG
2015-12-14,60.66762161254883,60.85359810273561,60.00895019606919,60.15617887442763,12179000,PG
2015-12-15,61.74472427368164,61.99269481646414,60.81483621626831,60.993061903098564,14113400,PG
2015-12-16,62.759864807128906,62.94584718398094,61.837727314933105,61.977211141529516,14102600,PG
2015-12-17,62.21744155883789,62.79087253801032,62.147696677647524,62.7521306369812,9864200,PG
2015-12-18,60.54363250732422,62.085705533064804,60.54363250732422,61.9539665219214,21342100,PG
2015-12-21,61.17905807495117,61.20231030916159,60.55913447398455,60.931087452147324,9105800,PG
2015-12-22,61.682762145996094,61.798999691469575,61.12482665739308,61.34180616791759,9872200,PG
2015-12-23,61.930721282958984,62.32592649912822,61.605260945918936,61.9539676053067,8254600,PG
2015-12-24,61.829994201660156,62.108961934398955,61.682759589357204,61.72925815287161,2498000,PG
2015-12-28,61.930721282958984,61.9694690949292,61.582014623571226,61.79123743678667,4150000,PG
2015-12-29,62.271705627441406,62.465432933173346,61.876500268363564,62.16321880919858,4406100,PG
2015-12-30,62.04696273803711,62.38017384100044,61.99271934509361,62.349176771877524,3793200,PG
2015-12-31,61.53550338745117,62.02369374551665,61.45800778692411,61.922957741749435,5077700,PG
2016-01-04,60.729618072509766,60.830354110201085,60.086442208877,60.72186732743005,11529800,PG
2016-01-05,60.92335510253906,61.1868213567141,60.605639536176824,60.783871229126625,8133700,PG
2016-01-06,60.33439636230469,60.667607364680904,59.760965536849575,60.18716180643845,9551000,PG
2016-01-07,59.8074836730957,60.13294407128959,58.94733411209246,59.55176225504887,11973900,PG
2016-01-08,58.86984634399414,60.03996076166728,58.63737124492966,59.946969539624014,9676400,PG
2016-01-11,59.41226577758789,59.69898420778701,58.583113465483315,59.02481131563088,10209200,PG
2016-01-12,59.28828811645508,59.68348744222767,58.69935563228493,59.66799186384079,8774700,PG
2016-01-13,58.776832580566406,59.66022815888241,58.73033994341875,59.644732583861554,9310100,PG
2016-01-14,59.00933837890625,59.629262208635495,58.80010957840539,58.97059055300959,12835100,PG
2016-01-15,58.102664947509766,58.645098747550854,57.70745980057411,57.73070611884944,17023900,PG
2016-01-19,59.4587516784668,59.59823549156802,58.67609217650521,58.738086296124564,13457300,PG
2016-01-20,59.273502349853516,59.47673042106237,58.202621971929275,58.8514036453494,17795000,PG
2016-01-21,59.96917724609375,60.328741456089325,58.94520077928865,59.42200965066304,12712900,PG
2016-01-22,60.46945571899414,60.94627066994022,59.836310539115175,60.50072295750391,9465800,PG
2016-01-25,60.070804595947266,60.46945442388881,59.84412159431839,60.34438547252839,9870400,PG
2016-01-26,61.60285568237305,62.20473949839467,60.61014635178651,60.969710596078286,16374800,PG
2016-01-27,61.59505081176758,62.41579343724832,61.08696863583238,61.38399844834696,10816100,PG
2016-01-28,62.39236831665039,62.53306795810084,61.44655637941828,62.0640711411387,9895100,PG
2016-01-29,63.85407257080078,64.09638626907021,62.40017845394956,62.51742913375059,19895000,PG
2016-02-01,63.40851974487305,63.62738448260057,62.94733536441849,63.47886656902111,9657200,PG
2016-02-02,62.70499801635742,62.95512990271806,62.3845133687876,62.60337802390134,9116400,PG
2016-02-03,63.392879486083984,63.50231184863749,62.54868186328567,62.90825215580889,10149600,PG
