US GDP,Date,Inflation,Unemployment
^GSPC,,^TNX,^DJI
2599.030029296875,2017-11-21 00:00:00+00:00,2.36299991607666,23590.830078125
2597.080078125,2017-11-22 00:00:00+00:00,2.322000026702881,23526.1796875
2602.419921875,2017-11-24 00:00:00+00:00,2.3399999141693115,23557.990234375
2601.419921875,2017-11-27 00:00:00+00:00,2.328000068664551,23580.779296875
2627.0400390625,2017-11-28 00:00:00+00:00,2.3380000591278076,23836.7109375
2626.070068359375,2017-11-29 00:00:00+00:00,2.375999927520752,23940.6796875
2647.580078125,2017-11-30 00:00:00+00:00,2.4170000553131104,24272.349609375
2642.219970703125,2017-12-01 00:00:00+00:00,2.361999988555908,24231.58984375
2639.43994140625,2017-12-04 00:00:00+00:00,2.378999948501587,24290.05078125
2629.570068359375,2017-12-05 00:00:00+00:00,2.3559999465942383,24180.640625
2629.27001953125,2017-12-06 00:00:00+00:00,2.3299999237060547,24140.91015625
2636.97998046875,2017-12-07 00:00:00+00:00,2.375999927520752,24211.48046875
2651.5,2017-12-08 00:00:00+00:00,2.382999897003174,24329.16015625
2659.989990234375,2017-12-11 00:00:00+00:00,2.384999990463257,24386.029296875
2664.110107421875,2017-12-12 00:00:00+00:00,2.4030001163482666,24504.80078125
2662.85009765625,2017-12-13 00:00:00+00:00,2.3489999771118164,24585.4296875
2652.010009765625,2017-12-14 00:00:00+00:00,2.3459999561309814,24508.66015625
2675.81005859375,2017-12-15 00:00:00+00:00,2.3550000190734863,24651.740234375
2690.159912109375,2017-12-18 00:00:00+00:00,2.3919999599456787,24792.19921875
2681.469970703125,2017-12-19 00:00:00+00:00,2.4630000591278076,24754.75
2679.25,2017-12-20 00:00:00+00:00,2.496999979019165,24726.650390625
2684.570068359375,2017-12-21 00:00:00+00:00,2.4809999465942383,24782.2890625
2683.340087890625,2017-12-22 00:00:00+00:00,2.484999895095825,24754.060546875
2680.5,2017-12-26 00:00:00+00:00,2.4670000076293945,24746.2109375
2682.6201171875,2017-12-27 00:00:00+00:00,2.4140000343322754,24774.30078125
2687.5400390625,2017-12-28 00:00:00+00:00,2.431999921798706,24837.509765625
2673.610107421875,2017-12-29 00:00:00+00:00,2.4049999713897705,24719.220703125
2695.81005859375,2018-01-02 00:00:00+00:00,2.4649999141693115,24824.009765625
2713.06005859375,2018-01-03 00:00:00+00:00,2.447000026702881,24922.6796875
2723.989990234375,2018-01-04 00:00:00+00:00,2.453000068664551,25075.130859375
2743.14990234375,2018-01-05 00:00:00+00:00,2.4760000705718994,25295.869140625
2747.7099609375,2018-01-08 00:00:00+00:00,2.4800000190734863,25283.0
2751.2900390625,2018-01-09 00:00:00+00:00,2.5460000038146973,25385.80078125
2748.22998046875,2018-01-10 00:00:00+00:00,2.549999952316284,25369.130859375
2767.56005859375,2018-01-11 00:00:00+00:00,2.5309998989105225,25574.73046875
2786.239990234375,2018-01-12 00:00:00+00:00,2.552000045776367,25803.189453125
2776.419921875,2018-01-16 00:00:00+00:00,2.5439999103546143,25792.859375
2802.56005859375,2018-01-17 00:00:00+00:00,2.578000068664551,26115.650390625
2798.030029296875,2018-01-18 00:00:00+00:00,2.6110000610351562,26017.810546875
2810.300048828125,2018-01-19 00:00:00+00:00,2.63700008392334,26071.720703125
2832.969970703125,2018-01-22 00:00:00+00:00,2.6649999618530273,26214.599609375
2839.1298828125,2018-01-23 00:00:00+00:00,2.624000072479248,26210.810546875
2837.5400390625,2018-01-24 00:00:00+00:00,2.6540000438690186,26252.119140625
2839.25,2018-01-25 00:00:00+00:00,2.621000051498413,26392.7890625
2872.8701171875,2018-01-26 00:00:00+00:00,2.6619999408721924,26616.7109375
2853.530029296875,2018-01-29 00:00:00+00:00,2.6989998817443848,26439.48046875
2822.429931640625,2018-01-30 00:00:00+00:00,2.7260000705718994,26076.890625
2823.81005859375,2018-01-31 00:00:00+00:00,2.7200000286102295,26149.390625
2821.97998046875,2018-02-01 00:00:00+00:00,2.7730000019073486,26186.7109375
2762.1298828125,2018-02-02 00:00:00+00:00,2.8540000915527344,25520.9609375
2648.93994140625,2018-02-05 00:00:00+00:00,2.7939999103546143,24345.75
2695.139892578125,2018-02-06 00:00:00+00:00,2.7679998874664307,24912.76953125
2681.659912109375,2018-02-07 00:00:00+00:00,2.8440001010894775,24893.349609375
2581.0,2018-02-08 00:00:00+00:00,2.8510000705718994,23860.4609375
2619.550048828125,2018-02-09 00:00:00+00:00,2.8289999961853027,24190.900390625
2656.0,2018-02-12 00:00:00+00:00,2.8570001125335693,24601.26953125
2662.93994140625,2018-02-13 00:00:00+00:00,2.8399999141693115,24640.44921875
2698.6298828125,2018-02-14 00:00:00+00:00,2.9130001068115234,24893.490234375
2731.199951171875,2018-02-15 00:00:00+00:00,2.8910000324249268,25200.369140625
2732.219970703125,2018-02-16 00:00:00+00:00,2.877000093460083,25219.380859375
2716.260009765625,2018-02-20 00:00:00+00:00,2.8929998874664307,24964.75
2701.330078125,2018-02-21 00:00:00+00:00,2.943000078201294,24797.779296875
2703.9599609375,2018-02-22 00:00:00+00:00,2.9170000553131104,24962.48046875
2747.300048828125,2018-02-23 00:00:00+00:00,2.871000051498413,25309.990234375
2779.60009765625,2018-02-26 00:00:00+00:00,2.8589999675750732,25709.26953125
2744.280029296875,2018-02-27 00:00:00+00:00,2.9079999923706055,25410.029296875
2713.830078125,2018-02-28 00:00:00+00:00,2.868000030517578,25029.19921875
2677.669921875,2018-03-01 00:00:00+00:00,2.803999900817871,24608.98046875
2691.25,2018-03-02 00:00:00+00:00,2.8570001125335693,24538.060546875
2720.93994140625,2018-03-05 00:00:00+00:00,2.88100004196167,24874.759765625
2728.1201171875,2018-03-06 00:00:00+00:00,2.877000093460083,24884.119140625
2726.800048828125,2018-03-07 00:00:00+00:00,2.882999897003174,24801.359375
2738.969970703125,2018-03-08 00:00:00+00:00,2.865999937057495,24895.2109375
2786.570068359375,2018-03-09 00:00:00+00:00,2.8940000534057617,25335.740234375
2783.02001953125,2018-03-12 00:00:00+00:00,2.869999885559082,25178.609375
2765.31005859375,2018-03-13 00:00:00+00:00,2.8480000495910645,25007.029296875
2749.47998046875,2018-03-14 00:00:00+00:00,2.816999912261963,24758.119140625
2747.330078125,2018-03-15 00:00:00+00:00,2.8259999752044678,24873.66015625
2752.010009765625,2018-03-16 00:00:00+00:00,2.8480000495910645,24946.509765625
2712.919921875,2018-03-19 00:00:00+00:00,2.8450000286102295,24610.91015625
2716.93994140625,2018-03-20 00:00:00+00:00,2.878999948501587,24727.26953125
2711.929931640625,2018-03-21 00:00:00+00:00,2.9070000648498535,24682.310546875
2643.68994140625,2018-03-22 00:00:00+00:00,2.8320000171661377,23957.890625
2588.260009765625,2018-03-23 00:00:00+00:00,2.8299999237060547,23533.19921875
2658.550048828125,2018-03-26 00:00:00+00:00,2.8429999351501465,24202.599609375
2612.6201171875,2018-03-27 00:00:00+00:00,2.7860000133514404,23857.7109375
2605.0,2018-03-28 00:00:00+00:00,2.7750000953674316,23848.419921875
2640.8701171875,2018-03-29 00:00:00+00:00,2.740999937057495,24103.109375
2581.8798828125,2018-04-02 00:00:00+00:00,2.7320001125335693,23644.189453125
2614.449951171875,2018-04-03 00:00:00+00:00,2.7839999198913574,24033.359375
2644.68994140625,2018-04-04 00:00:00+00:00,2.7880001068115234,24264.30078125
2662.840087890625,2018-04-05 00:00:00+00:00,2.8320000171661377,24505.220703125
2604.469970703125,2018-04-06 00:00:00+00:00,2.7750000953674316,23932.759765625
2613.159912109375,2018-04-09 00:00:00+00:00,2.7860000133514404,23979.099609375
2656.8701171875,2018-04-10 00:00:00+00:00,2.796999931335449,24408.0
2642.18994140625,2018-04-11 00:00:00+00:00,2.7899999618530273,24189.44921875
2663.989990234375,2018-04-12 00:00:00+00:00,2.8340001106262207,24483.05078125
2656.300048828125,2018-04-13 00:00:00+00:00,2.8289999961853027,24360.140625
2677.840087890625,2018-04-16 00:00:00+00:00,2.8320000171661377,24573.0390625
2706.389892578125,2018-04-17 00:00:00+00:00,2.813999891281128,24786.630859375
2708.639892578125,2018-04-18 00:00:00+00:00,2.867000102996826,24748.0703125
2693.1298828125,2018-04-19 00:00:00+00:00,2.9140000343322754,24664.890625
2670.139892578125,2018-04-20 00:00:00+00:00,2.9509999752044678,24462.939453125
2670.2900390625,2018-04-23 00:00:00+00:00,2.9730000495910645,24448.689453125
2634.56005859375,2018-04-24 00:00:00+00:00,2.9830000400543213,24024.130859375
2639.39990234375,2018-04-25 00:00:00+00:00,3.0239999294281006,24083.830078125
